B7_MAMÁ_CONSERVADOR_1CONFORMIDAD,B16_MAMÁ_CONSERVADOR_2CONFORMIDAD,B28_MAMÁ_CONSERVADOR_3CONFORMIDAD,B36_MAMÁ_CONSERVADOR_4CONFORMIDAD,B9_MAMÁ_CONSERVADOR_1TRADICION,B20_MAMÁ_CONSERVADOR_2TRADICION,B25_MAMÁ_CONSERVADOR_3TRADICION,B38_MAMÁ_CONSERVADOR_4TRADICION,B5_MAMÁ_CONSERVADOR_1SEGURIDAD,B14_MAMÁ_CONSERVADOR_2SEGURIDAD,B21_MAMÁ_CONSERVADOR_3SEGURIDAD,B31_MAMÁ_CONSERVADOR_4SEGURIDAD,B35_MAMÁ_CONSERVADOR_5SEGURIDAD,B12_MAMÁ_AUTOTRASCENDENCIA_1BENEVOLENCIA,B18_MAMÁ_AUTOTRASCENDENCIA_2BENEVOLENCIA,B27_MAMÁ_AUTOTRASCENDENCIA_3BENEVOLENCIA,B33_MAMÁ_AUTOTRASCENDENCIA_4BENEVOLENCIA,B3_MAMÁ_AUTOTRASCENDENCIA_1UNIVERSALISMO,B8_MAMÁ_AUTOTRASCENDENCIA_2UNIVERSALISMO,B19_MAMÁ_AUTOTRASCENDENCIA_3UNIVERSALISMO,B23_MAMÁ_AUTOTRASCENDENCIA_4UNIVERSALISMO,B29_MAMÁ_AUTOTRASCENDENCIA_5UNVIERSALISMO,B40_MAMÁ_AUTOTRASCENDENCIA_6UNIVERSALISMO,B1_MAMÁ_APERTURA_AL_CAMBIO_1AUTODIRECCION,B11_MAMÁ_APERTURA_AL_CAMBIO_2AUTODIRECCION,B22_MAMÁ_APERTURA_AL_CAMBIO_3AUTODIRECCION,B34_MAMÁ_APERTURA_AL_CAMBIO_4AUTODIRECCION,B6_MAMÁ_APERTURA_AL_CAMBIO_1ESTIMULACION,B15_MAMÁ_APERTURA_AL_CAMBIO_2ESTIMULACION,B30_MAMÁ_APERTURA_AL_CAMBIO_3ESTIMULACION,B4_MAMÁ_SUPERACION_1LOGRO,B13_MAMÁ_SUPERACION_2LOGRO,B24_MAMÁ_SUPERACION_3LOGRO,B32_MAMÁ_SUPERACION_4LOGRO,B2_MAMÁ_SUPERACION_1PODER,B17_MAMÁ_SUPERACION_2PODER,B39_MAMÁ_SUPERACION_3PODER,B49_MAMÁ_PPASS_1_AS_1ELECCION,B52_MAMÁ_PPASS_4_AS_2ELECCION,B56_MAMÁ_PPASS_8_AS_3ELECCION,B62_MAMÁ_PPASS_14_AS_4ELECCION,B50_MAMÁ_PPASS_2_AS_1EXPLICACION,B57_MAMÁ_PPASS_9_AS_2EXPLICACION,B67_MAMÁ_PPASS_19_AS_3EXPLICACION,B71_MAMÁ_PPASS_23_AS_4EXPLICACION,B55_MAMÁ_PPASS_7_AS_1EMPATIA,B61_MAMÁ_PPASS_13_AS_2EMPATIA,B64_MAMÁ_PPASS_16_AS_3EMPATIA,B72_MAMÁ_PPASS_24_AS_4EMPATIA,B51_MAMÁ_PPASS_3_PC_1CASTIGO,B58_MAMÁ_PPASS_10_PC_2CASTIGO,B63_MAMÁ_PPASS_15_PC_3CASTIGO,B68_MAMÁ_PPASS_20_PC_4CASTIGO,B53_MAMÁ_PPASS_5_PC_1PRESION,B59_MAMÁ_PPASS_11_PC_2PRESION,B65_MAMÁ_PPASS_17_PC_3PRESION,B70_MAMÁ_PPASS_22_PC_4PRESION,B54_MAMÁ_PPASS_6_PC_1CULPAR,B60_MAMÁ_PPASS_12_PC_2CULPAR,B66_MAMÁ_PPASS_18_PC_3CULPAR,B69_MAMÁ_PPASS_21_PC_4CULPAR,ICAST_2MAMA,ICAST_5MAMA,ICAST_12MAMA,ICAST_13MAMA,ICAST_14MAMA,ICAST_17MAMA,ICAST_18MAMA,ICAST_19MAMA,ICAST_21MAMA,ICAST_24MAMA,ICAST_25MAMA,ICAST_26MAMA,ICAST_27MAMA,ICAST_32MAMA,ICAST_33MAMA,ICAST_43MAMA,ICAST_45MAMA,ICAST_47MAMA,ICAST_48MAMA,YSR_5,YSR_14,YSR_30,YSR_32,YSR_33,YSR_35,YSR_42,YSR_47,YSR_51,YSR_52,YSR_54,YSR_56B,YSR_56C,YSR_56D,YSR_56E,YSR_56F,YSR_65,YSR_69,YSR_91,YSR_103,YSR_111,YSR_2,YSR_3,YSR_16,YSR_20,YSR_21,YSR_28,YSR_57,YSR_67,YSR_82,YSR_94,YSR_96,YSR_97,YSR_99,YSR_104,YSR_105,SEXO_F1Y2,EDAD_F1Y2,NSE,EST_FAM,EDAD_MAMA,ESC_MAMA,EDAD_PAPA,ESCOL_PAPA,HOMBRE,MUJER,Lat_Conservador,Lat_Apertura,Lat_Trascedencia,Lat_Superacion,Lat_Autonomía,Lat_Control,Lat_Psicologico,Lat_Fisico,Lat_Negligencia,Lat_Ineriorizados,Lat_Exteriorizados
1,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,1,2,1,2,1,2,1,1,2,1,1,2,1,1,2,2,2,2,1,1,2,2,1,2,2,2,2,2,1,1,1,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,2,2,1,0,1,0,1,1,2,1,2,1,1,0,1,2,2,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,2,14,2,1,38,4,39,3, ,1,-1.977,-.824,-1.31,-.593,-1.681,-.212,.757,-.407,1.476,1.663,.731
4,1,4,4,4,4,1,4,1,2,3,4,1,3,1,2,3,4,4,3,4,4,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,1,4,4,4,4,4,4,4,1,1,1,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,6,1,50,8,49,6, ,1,-.332,-2.215,-.102,-1.713,1.132,-1.432,-.503,-.407,-.326,-.576,-1.333
4,3,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,2,4,4,4,3,4,2,1,3,2,3,4,1,4,3,1,1,3,3,4,1,1,1,1,2,4,4,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,2,2,2,1,0,1,2,2,2,2,2,2,1,2,1,2,1,0,2,0,0,2,1,1,1,2,2,1,0,0,0,0,0,2,0,2,14,6,1,45,3,43,6, ,1,.789,.867,1.4,1.397,-.693,-.104,-.503,-.407,.609,2.076,1.712
4,4,4,4,4,3,1,4,4,3,4,4,4,4,4,4,3,4,4,3,4,4,3,4,4,4,4,4,4,4,2,1,1,2,1,2,1,2,4,4,2,2,4,4,2,4,2,4,4,1,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,2,14,4,2,38,6,40,4, ,1,1.334,1.926,.774,-.753,.17,-1.22,-.503,-.407,-.326,.337,.323
1,4,4,2,1,1,2,4,2,2,4,4,1,1,1,1,4,3,2,1,4,4,4,2,1,4,4,2,2,2,1,1,1,4,2,1,4,3,1,1,1,4,4,1,1,1,4,4,1,4,1,4,1,1,1,2,1,2,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,2,1,1,0,0,0,1,2,1,2,0,0,2,0,0,1,14,7,1,50,2,45,4,1, ,-.74,-.43,-1.052,-.328,-1.37,.238,.445,-.407,-.326,.023,1.655
4,4,4,4,4,3,3,4,4,3,4,4,4,3,4,3,4,4,2,4,4,4,3,4,3,4,4,4,1,2,4,4,1,4,1,3,3,3,4,3,4,3,3,4,4,4,3,3,3,2,1,1,1,1,2,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,6,5,67,8,52,2,1, ,1.4,.585,.382,1.159,.185,-.609,-.503,.425,-.326,-.135,-.865
3,1,2,2,3,1,1,1,4,2,2,2,1,3,1,1,3,3,2,2,1,2,3,1,3,2,1,2,1,1,2,2,1,1,2,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,4,4,1,3,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,14,4,1,37,4,51,4,1, ,-1.74,-1.602,-1.346,-.174,-2.621,.091,.396,-.407,-.326,.619,.187
2,2,4,4,3,1,3,4,1,1,3,1,2,3,3,3,4,4,3,1,1,3,2,2,3,1,2,4,2,1,4,1,1,1,2,3,4,1,1,3,1,4,1,1,2,4,4,4,1,4,4,2,3,3,3,2,2,2,1,1,1,1,0,2,2,0,0,0,0,0,3,0,1,2,0,0,0,0,4,0,2,2,2,2,2,2,1,1,2,2,2,2,2,0,0,2,0,2,2,2,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,2,13,3,1,34,3,31,4, ,1,-.935,-.88,-.619,.083,-.843,.664,1.302,1.427,1.072,2.828,.07
2,2,3,4,3,2,3,2,3,2,3,3,3,2,2,2,3,3,2,3,2,2,3,2,2,2,2,2,1,2,2,2,1,2,1,1,2,2,2,3,3,1,2,2,2,3,1,2,2,3,2,2,2,3,2,2,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,1,0,0,1,1,2,2,2,1,2,1,1,1,0,1,2,2,0,2,2,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,13,3,1,40,3,40,3,1, ,-.767,-1.112,-1.03,-.349,-1.07,.452,-.503,-.407,1.127,1.695,.289
3,2,4,3,3,2,1,4,3,2,3,3,4,3,3,3,4,4,2,3,2,3,2,2,3,3,4,2,1,3,1,2,1,2,3,2,2,2,4,3,1,2,3,4,3,4,2,2,4,1,2,1,2,4,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,1,0,0,0,0,1,0,0,0,0,2,2,1,1,0,1,1,1,0,2,1,2,2,1,1,2,13,4,1,98,8,98,8, ,1,-.404,-.363,-.393,-.19,-.292,-.079,-.503,-.407,-.326,-.042,2.519
